"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.07710901174971e-55,1.62399037721268,0.27,0.115,2.28643298896964e-50,"0","MGAT4A"
1.14282804925449e-54,1.29233243688473,0.416,0.241,2.87866957326715e-50,"0","SH3KBP1"
2.60916857021184e-53,1.22255794090372,0.439,0.256,6.5722347115066e-49,"0","FOXO1"
6.72647151821354e-53,1.67525486539207,0.273,0.121,1.69433091072281e-48,"0","PDCD4"
3.89762651414625e-52,1.25740959262003,0.422,0.25,9.81773142648298e-48,"0","PTPRJ"
8.16096978922235e-51,1.0189644032685,0.32,0.15,2.05566668020722e-46,"0","PAG1"
1.97753652287759e-50,1.45819034358711,0.395,0.241,4.98121674747635e-46,"0","RAPGEF6"
3.40187321588848e-50,1.15532981112998,0.453,0.289,8.56897844350149e-46,"0","FAM49B"
3.68606676673238e-49,1.6223498777822,0.292,0.141,9.28483357872219e-45,"0","GTDC1"
1.84325669179217e-47,1.66079825913009,0.306,0.16,4.64297928095528e-43,"0","STK17A"
2.28963483867323e-47,1.52204437271536,0.341,0.191,5.767361195134e-43,"0","NFATC3"
2.82021594002155e-46,1.06327308355606,0.407,0.225,7.10384193132028e-42,"0","MT-ATP6"
3.52741987302308e-46,1.39973159377609,0.395,0.244,8.88521791815785e-42,"0","SUCLG2"
2.37199297637636e-45,1.72170853463577,0.289,0.147,5.97481310819441e-41,"0","FUT8"
7.61002993424992e-45,1.34990466653328,0.261,0.117,1.91689044013821e-40,"0","PLCB1"
2.62923035556147e-44,1.30206239879703,0.448,0.308,6.62276834262378e-40,"0","CCDC91"
3.01222467115038e-44,0.91321773209089,0.379,0.203,7.58749272416069e-40,"0","MT-CO2"
6.1813619318515e-43,1.35849693125418,0.26,0.12,1.55702325701408e-38,"0","RASA3"
1.34107197523709e-40,1.24702810077688,0.338,0.186,3.3780261984247e-36,"0","MT-ND1"
1.10285022805731e-39,1.7436295383096,0.255,0.129,2.77796943945356e-35,"0","TNRC6C"
