"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.45819578264124e-44,1.53755507569996,0.267,0.139,3.67304935689501e-40,"0","GTDC1"
8.081287237835e-43,1.18135030028953,0.389,0.257,2.03559544233826e-38,"0","MGAT5"
8.82857219865864e-43,0.859049452429511,0.591,0.509,2.22382905112012e-38,"0","ANKRD11"
2.53492116849416e-42,1.43747537000627,0.36,0.242,6.38521293131993e-38,"0","CLASP1"
8.92301592409359e-42,1.19778896345299,0.371,0.242,2.24761848111993e-37,"0","DIAPH1"
1.92622751522605e-39,1.05897284439745,0.456,0.358,4.8519744881029e-35,"0","NCOA2"
2.34472105451251e-39,1.49601781464228,0.257,0.141,5.90611786421156e-35,"0","RORA-AS1"
3.87229102754243e-36,1.01882170456946,0.389,0.257,9.75391386927663e-32,"0","FOXO1"
1.69285261353907e-35,1.11501795437588,0.4,0.293,4.26412644824356e-31,"0","RAP1B"
2.11491666915644e-35,0.814520233806617,0.37,0.224,5.32726359793816e-31,"0","MT-ATP6"
8.48417706480814e-35,1.4603540604093,0.29,0.181,2.13707936085452e-30,"0","STIM2"
1.65336119689457e-34,1.0484275500566,0.453,0.363,4.16465151885773e-30,"0","FAM172A"
4.03650090487613e-34,0.92010472742109,0.454,0.347,1.01675421292925e-29,"0","JAK1"
4.90816668085036e-34,0.797527805083915,0.348,0.206,1.2363181052394e-29,"0","MT-ND3"
4.73092141058876e-33,1.32397906935224,0.257,0.148,1.1916717941132e-28,"0","MYO5A"
5.09845759271081e-33,1.12537023990064,0.369,0.262,1.28425048302792e-28,"0","CCSER2"
6.44378916561311e-33,1.30601126204085,0.336,0.233,1.62312605292629e-28,"0","EPC1"
8.39741615162838e-33,1.2797208779425,0.379,0.281,2.11522515443367e-28,"0","RASA1"
1.21483919229535e-32,0.910767015850783,0.302,0.183,3.06005844147276e-28,"0","CEMIP2"
4.09656317117274e-32,0.837406043917579,0.387,0.27,1.0318832971867e-27,"0","MSI2"
5.28945750418669e-32,1.34185898281237,0.313,0.21,1.33236145072958e-27,"0","UBAC2"
5.4777521314098e-32,1.51704370813799,0.252,0.148,1.37979098438081e-27,"0","FUT8"
9.09994431091317e-31,1.25771577914852,0.364,0.274,2.29218497247592e-26,"0","GPATCH8"
2.66667684389274e-30,1.48747645442116,0.262,0.164,6.71709230208142e-26,"0","PTPN4"
1.572878969542e-29,0.41814913137142,0.53,0.362,3.96192483637934e-25,"0","ELMO1"
2.33532280894518e-29,0.649156685697959,0.296,0.172,5.88244462345201e-25,"0","MT-CO3"
2.61442125906932e-29,0.7850294657993,0.392,0.278,6.5854657094697e-25,"0","ST6GAL1"
2.91045972929626e-29,1.15015187604902,0.346,0.248,7.33115701212436e-25,"0","RAP1A"
1.04925270302962e-28,1.26057086067618,0.283,0.183,2.64296263366131e-24,"0","SEPTIN9"
1.08068527698197e-28,1.0156007571719,0.389,0.295,2.72213814418989e-24,"0","RPS6KA3"
1.97117039672899e-28,1.04509566018378,0.392,0.307,4.96518111232066e-24,"0","SOS1"
2.22580216450797e-28,0.543930873347754,0.525,0.433,5.60657307217914e-24,"0","PICALM"
4.17842824223555e-28,1.37937107106623,0.289,0.191,1.05250428993671e-23,"0","MCTP2"
1.06490622542076e-27,1.17017275213388,0.341,0.246,2.68239229121235e-23,"0","SMARCA2"
1.56579485277882e-27,0.921038918309965,0.437,0.354,3.94408065466457e-23,"0","MYCBP2"
4.36892594470682e-27,1.02929554800388,0.394,0.31,1.1004887562122e-22,"0","EPS15"
6.79188336732919e-27,0.648239215420304,0.417,0.308,1.71080750139655e-22,"0","RAPGEF1"
7.6019615542495e-27,1.06942888016534,0.36,0.268,1.91485809589991e-22,"0","NR3C1"
5.61282062003124e-26,0.912870915172992,0.329,0.23,1.41381338597967e-21,"0","MSN"
9.41506649879931e-26,0.982049878521689,0.345,0.252,2.37156110038256e-21,"0","OSBPL8"
1.84933368005675e-25,0.973110407484909,0.37,0.276,4.65828660669494e-21,"0","TAOK3"
1.86618430198223e-25,1.36432840088405,0.284,0.197,4.70073163826305e-21,"0","TLK1"
4.16597233851381e-25,1.20232715312139,0.288,0.197,1.04936677234824e-20,"0","AHNAK"
7.17485123644583e-25,1.41963571692577,0.25,0.163,1.80727327794834e-20,"0","BICRAL"
2.38388750925194e-24,0.794327387247397,0.513,0.472,6.00477424705471e-20,"0","VPS13B"
3.34006989364658e-24,0.806446445735782,0.307,0.209,8.41330205510637e-20,"0","ATP2B1"
1.31689059766545e-23,0.908790590607585,0.444,0.388,3.3171157264595e-19,"0","KANSL1"
1.42151784950176e-23,0.885096304094377,0.317,0.22,3.58066131111e-19,"0","ATP8A1"
1.66962901571633e-23,0.734404041675109,0.508,0.457,4.20562852768786e-19,"0","ANKRD12"
2.92421988302615e-23,1.06102518787474,0.397,0.335,7.36581746335457e-19,"0","FBXL17"
8.09417024104415e-23,1.00228394631447,0.39,0.323,2.03884054201661e-18,"0","HERC4"
2.10485144068121e-22,0.610045685417649,0.255,0.156,5.30191029393189e-18,"0","PAG1"
3.9663855635407e-22,1.13862738174957,0.293,0.209,9.99092859600266e-18,"0","XKR6"
4.90124194576059e-22,0.741008700798494,0.483,0.439,1.23457383371764e-17,"0","BIRC6"
1.00461128273766e-21,0.738995531291966,0.396,0.31,2.53051536008789e-17,"0","MYH9"
1.22086633124852e-21,0.946629980686291,0.401,0.336,3.0752402017819e-17,"0","VTI1A"
